Point,X,Y,Z,Description
1,176.553,6.028,150.340,C1 Origin (System B)
2,176.553,3.703,150.340,Path Point 2
3,176.450,3.453,150.340,Path Point 3
4,176.165,3.168,150.340,Path Point 4
5,176.062,2.919,150.340,Path Point 5
6,176.062,2.469,150.340,Path Point 6
7,176.062,2.416,150.340,Path Point 7
8,176.062,2.416,153.960,Path Point 8
9,176.058,2.474,153.960,Path Point 9
10,176.058,2.924,153.960,Path Point 10
11,176.058,7.592,153.960,Path Point 11
12,176.058,8.042,153.960,Path Point 12
13,175.682,8.418,153.960,Path Point 13
14,173.485,12.154,156.634,Path Point 14
15,173.861,12.530,156.634,Path Point 15
16,173.861,12.843,156.634,Path Point 16
17,173.861,13.092,156.737,Path Point 17
18,173.861,13.126,156.770,Path Point 18
19,173.861,13.375,156.874,Path Point 19
20,173.861,13.680,156.874,Path Point 20
21,174.237,14.056,156.874,Path Point 21
22,176.709,14.056,156.874,Path Point 22
23,176.958,14.056,156.977,Path Point 23
24,177.202,14.056,157.221,Path Point 24
25,177.381,14.056,157.295,Path Point 25
26,178.482,14.056,157.295,Path Point 26
27,178.858,13.680,157.295,Path Point 27
28,179.234,13.304,157.295,Path Point 28
29,182.946,13.304,157.295,C2 Destination (System A)
